timestamp,Infrared to Red Signal Ratio
02/08/24 10:50:18,1
02/08/24 10:51:18,0
02/08/24 10:52:18,0
02/08/24 10:53:18,0
02/08/24 10:54:18,0
02/08/24 10:55:18,0
02/08/24 10:56:18,-58
02/08/24 10:57:18,0
02/08/24 10:58:18,0
02/08/24 10:59:18,-7
02/08/24 11:00:18,0
02/08/24 11:01:18,0
02/08/24 11:02:18,0
02/08/24 11:03:18,0
02/08/24 11:04:18,0
02/08/24 11:05:18,9
02/08/24 11:06:18,0
02/08/24 11:07:18,4
02/08/24 11:08:18,0
02/08/24 11:09:18,-13
02/08/24 11:10:18,0
02/08/24 11:11:18,53
02/08/24 11:12:18,0
02/08/24 11:13:18,-4
02/08/24 11:14:18,-1
02/08/24 11:15:18,12
02/08/24 11:16:18,-16
02/08/24 11:17:18,0
02/08/24 11:18:18,0
02/08/24 11:19:18,0
02/08/24 11:20:18,0
