timestamp,Infrared to Red Signal Ratio
02/14/24 11:57:55,0
02/14/24 11:58:55,0
02/14/24 11:59:55,0
02/14/24 12:00:55,-5
02/14/24 12:01:55,-1
02/14/24 12:02:55,0
02/14/24 12:03:55,0
02/14/24 12:04:55,0
02/14/24 12:05:55,-1
02/14/24 12:06:55,0
02/14/24 12:07:55,0
02/14/24 12:08:55,0
02/14/24 12:09:55,0
02/14/24 12:10:55,-43
02/14/24 12:11:55,2
02/14/24 12:12:55,0
02/14/24 12:13:55,-7
02/14/24 12:14:55,-17
02/14/24 12:15:55,0
02/14/24 12:16:55,0
02/14/24 12:17:55,0
02/14/24 12:18:55,-6
02/14/24 12:19:55,0
02/14/24 12:20:55,1
02/14/24 12:21:55,0
02/14/24 12:22:55,0
02/14/24 12:23:55,6
02/14/24 12:24:55,0
02/14/24 12:25:55,0
02/14/24 12:26:55,0
02/14/24 12:27:55,0
