timestamp,Infrared to Red Signal Ratio
02/20/24 12:29:30,0
02/20/24 12:30:30,0
02/20/24 12:31:30,0
02/20/24 12:32:30,-17
02/20/24 12:33:30,0
02/20/24 12:34:30,0
02/20/24 12:35:30,-7
02/20/24 12:36:30,-7
02/20/24 12:37:30,-1
02/20/24 12:38:30,0
02/20/24 12:39:30,0
02/20/24 12:40:30,0
02/20/24 12:41:30,0
02/20/24 12:42:30,0
02/20/24 12:43:30,4
02/20/24 12:44:30,0
02/20/24 12:45:30,16
02/20/24 12:46:30,0
02/20/24 12:47:30,0
02/20/24 12:48:30,-6
02/20/24 12:49:30,-5
02/20/24 12:50:30,-12
02/20/24 12:51:30,0
02/20/24 12:52:30,-10
02/20/24 12:53:30,-13
02/20/24 12:54:30,0
02/20/24 12:55:30,0
02/20/24 12:56:30,0
02/20/24 12:57:30,0
02/20/24 12:58:30,0
02/20/24 12:59:30,2
