timestamp,Infrared to Red Signal Ratio
06/14/23 18:26:24,0
06/14/23 18:27:24,-20
06/14/23 18:28:24,0
06/14/23 18:29:24,0
06/14/23 18:30:24,1
06/14/23 18:31:24,-19
06/14/23 18:32:24,4
06/14/23 18:33:24,0
06/14/23 18:34:24,-4
06/14/23 18:35:25,0
06/14/23 18:36:25,0
06/14/23 18:37:25,0
06/14/23 18:38:25,0
06/14/23 18:39:25,-2
06/14/23 18:40:25,0
06/14/23 18:41:25,-15
06/14/23 18:42:25,0
06/14/23 18:43:25,0
06/14/23 18:44:25,0
06/14/23 18:45:25,0
06/14/23 18:46:25,0
06/14/23 18:47:25,-2
06/14/23 18:48:25,0
06/14/23 18:49:25,18
06/14/23 18:50:25,0
06/14/23 18:51:25,5
06/14/23 18:52:25,-7
06/14/23 18:53:25,0
06/14/23 18:54:27,0
06/14/23 18:55:27,-64
06/14/23 18:56:27,-10
