timestamp,Infrared to Red Signal Ratio
04/21/23 17:46:34,0
04/21/23 17:47:34,0
04/21/23 17:48:34,0
04/21/23 17:49:34,0
04/21/23 17:50:34,0
04/21/23 17:51:34,7
04/21/23 17:52:34,-2
04/21/23 17:53:34,0
04/21/23 17:54:34,1
04/21/23 17:55:34,-4
04/21/23 17:56:34,0
04/21/23 17:57:34,-24
04/21/23 17:58:34,1
04/21/23 17:59:34,0
04/21/23 18:00:34,0
04/21/23 18:01:34,8
04/21/23 18:02:34,3
04/21/23 18:03:34,-17
04/21/23 18:04:34,4
04/21/23 18:05:34,0
04/21/23 18:06:34,-37
04/21/23 18:07:34,0
04/21/23 18:08:34,5
04/21/23 18:09:34,0
04/21/23 18:10:34,0
04/21/23 18:11:34,0
04/21/23 18:12:34,-41
04/21/23 18:13:34,14
04/21/23 18:14:37,4
04/21/23 18:15:37,-4
