timestamp,Infrared to Red Signal Ratio
08/01/22 14:12:34,0
08/01/22 14:13:34,0
08/01/22 14:14:34,-26
08/01/22 14:15:34,0
08/01/22 14:16:34,0
08/01/22 14:17:34,-1
08/01/22 14:18:35,-3
08/01/22 14:19:35,0
08/01/22 14:20:35,0
08/01/22 14:21:35,0
08/01/22 14:22:35,0
08/01/22 14:23:35,-5
08/01/22 14:24:35,0
08/01/22 14:25:35,4
08/01/22 14:26:35,43
08/01/22 14:27:35,-25
08/01/22 14:28:35,0
08/01/22 14:29:35,-15
08/01/22 14:30:35,0
08/01/22 14:31:35,0
08/01/22 14:32:35,13
08/01/22 14:33:35,17
08/01/22 14:34:35,-2
08/01/22 14:35:35,23
08/01/22 14:36:35,-4
08/01/22 14:37:35,0
08/01/22 14:38:35,0
08/01/22 14:39:35,0
08/01/22 14:40:35,0
08/01/22 14:41:35,1
