timestamp,Infrared to Red Signal Ratio
03/28/23 19:52:30,0
03/28/23 19:53:30,13
03/28/23 19:54:30,0
03/28/23 19:55:30,8
03/28/23 19:56:30,0
03/28/23 19:57:30,0
03/28/23 19:58:30,0
03/28/23 19:59:30,-17
03/28/23 20:00:30,0
03/28/23 20:01:30,0
03/28/23 20:02:30,0
03/28/23 20:03:30,25
03/28/23 20:04:30,0
03/28/23 20:05:30,3
03/28/23 20:06:30,0
03/28/23 20:07:30,0
03/28/23 20:08:30,0
03/28/23 20:09:30,0
03/28/23 20:10:30,0
03/28/23 20:11:30,0
03/28/23 20:12:30,5
03/28/23 20:13:30,-1
03/28/23 20:14:30,-14
03/28/23 20:15:30,0
03/28/23 20:16:30,0
03/28/23 20:17:30,0
03/28/23 20:18:30,0
03/28/23 20:19:30,10
03/28/23 20:20:30,0
03/28/23 20:21:30,11
03/28/23 20:22:30,43
