timestamp,Infrared to Red Signal Ratio
07/24/22 20:54:20,0
07/24/22 20:55:20,-4
07/24/22 20:56:20,6
07/24/22 20:57:20,0
07/24/22 20:58:20,-4
07/24/22 20:59:20,0
07/24/22 21:00:20,0
07/24/22 21:01:20,-7
07/24/22 21:02:20,0
07/24/22 21:03:20,0
07/24/22 21:04:20,0
07/24/22 21:05:20,0
07/24/22 21:06:20,0
07/24/22 21:07:20,0
07/24/22 21:08:20,0
07/24/22 21:09:20,0
07/24/22 21:10:20,0
07/24/22 21:11:20,0
07/24/22 21:12:20,0
07/24/22 21:13:20,0
07/24/22 21:14:20,-3
07/24/22 21:15:20,0
07/24/22 21:16:20,0
07/24/22 21:17:22,27
07/24/22 21:18:22,0
07/24/22 21:19:22,0
07/24/22 21:20:22,0
07/24/22 21:21:22,0
07/24/22 21:22:22,0
07/24/22 21:23:22,14
07/24/22 21:24:22,0
