timestamp,Infrared to Red Signal Ratio
02/15/23 15:05:05,3
02/15/23 15:06:05,0
02/15/23 15:07:07,-15
02/15/23 15:08:07,1
02/15/23 15:09:07,-5
02/15/23 15:10:07,-47
02/15/23 15:11:07,-9
02/15/23 15:12:07,-6
02/15/23 15:13:07,-3
02/15/23 15:14:07,0
02/15/23 15:15:07,-45
02/15/23 15:16:07,4
02/15/23 15:17:07,-27
02/15/23 15:18:07,0
02/15/23 15:19:07,-13
02/15/23 15:20:07,4
02/15/23 15:21:07,-19
02/15/23 15:22:07,-4
02/15/23 15:23:07,0
02/15/23 15:24:07,19
02/15/23 15:25:07,-16
02/15/23 15:26:07,0
02/15/23 15:27:07,0
02/15/23 15:28:07,0
02/15/23 15:29:07,-8
02/15/23 15:30:07,0
02/15/23 15:31:07,13
02/15/23 15:32:07,6
02/15/23 15:33:07,-14
02/15/23 15:34:07,-1
02/15/23 15:35:07,-1
02/15/23 15:36:07,-8
02/15/23 15:37:07,0
02/15/23 15:38:07,0
02/15/23 15:39:07,-29
02/15/23 15:40:07,0
