timestamp,Infrared to Red Signal Ratio
04/23/23 17:22:07,0
04/23/23 17:23:07,2
04/23/23 17:24:07,0
04/23/23 17:25:07,-15
04/23/23 17:26:07,-1
04/23/23 17:27:07,8
04/23/23 17:28:07,0
04/23/23 17:29:07,27
04/23/23 17:30:07,-4
04/23/23 17:31:07,2
04/23/23 17:32:07,42
04/23/23 17:33:07,0
04/23/23 17:34:07,0
04/23/23 17:35:07,13
04/23/23 17:36:07,47
04/23/23 17:37:07,10
04/23/23 17:38:07,-3
04/23/23 17:39:07,0
04/23/23 17:40:07,8
04/23/23 17:41:07,-3
04/23/23 17:42:09,-7
04/23/23 17:43:09,-22
04/23/23 17:44:09,0
04/23/23 17:45:09,0
04/23/23 17:46:09,1
04/23/23 17:47:09,1
04/23/23 17:48:09,0
04/23/23 17:49:09,21
04/23/23 17:50:09,0
04/23/23 17:51:09,39
04/23/23 17:52:09,5
04/23/23 17:53:09,12
04/23/23 17:54:09,-3
04/23/23 17:55:09,0
04/23/23 17:56:09,17
04/23/23 17:57:09,4
