timestamp,Infrared to Red Signal Ratio
03/18/24 06:13:04,0
03/18/24 06:14:04,-10
03/18/24 06:15:04,1
03/18/24 06:16:04,0
03/18/24 06:17:04,0
03/18/24 06:18:04,-15
03/18/24 06:19:04,0
03/18/24 06:20:04,-2
03/18/24 06:21:04,-12
03/18/24 06:22:04,0
03/18/24 06:23:04,-5
03/18/24 06:24:04,-34
03/18/24 06:25:04,-31
03/18/24 06:26:04,-35
03/18/24 06:27:04,-8
03/18/24 06:28:04,-2
03/18/24 06:29:04,4
03/18/24 06:30:04,0
03/18/24 06:31:04,0
03/18/24 06:32:04,0
03/18/24 06:33:04,0
03/18/24 06:34:04,0
03/18/24 06:35:04,0
03/18/24 06:36:04,-5
03/18/24 06:37:04,0
03/18/24 06:38:04,0
03/18/24 06:39:04,0
03/18/24 06:40:04,0
03/18/24 06:41:04,4
03/18/24 06:42:04,0
03/18/24 06:43:04,7
