timestamp,Infrared to Red Signal Ratio
10/04/23 09:30:34,0
10/04/23 09:31:34,0
10/04/23 09:32:34,0
10/04/23 09:33:34,0
10/04/23 09:34:34,0
10/04/23 09:35:34,0
10/04/23 09:36:34,1
10/04/23 09:37:34,0
10/04/23 09:38:34,0
10/04/23 09:39:36,0
10/04/23 09:40:36,0
10/04/23 09:41:36,0
10/04/23 09:42:36,0
10/04/23 09:43:36,66
10/04/23 09:44:36,0
10/04/23 09:45:36,4
10/04/23 09:46:36,-4
10/04/23 09:47:36,0
10/04/23 09:48:36,0
10/04/23 09:49:38,-9
10/04/23 09:50:38,0
10/04/23 09:51:38,-10
10/04/23 09:52:38,0
10/04/23 09:53:38,0
10/04/23 09:54:38,0
10/04/23 09:55:38,0
10/04/23 09:56:38,0
10/04/23 09:57:38,0
10/04/23 09:58:38,0
10/04/23 09:59:38,0
10/04/23 10:00:38,-10
10/04/23 10:01:38,0
10/04/23 10:02:38,0
10/04/23 10:03:38,0
10/04/23 10:04:38,-1
10/04/23 10:05:38,-4
10/04/23 10:06:38,0
10/04/23 10:07:38,0
10/04/23 10:08:38,27
10/04/23 10:09:38,0
10/04/23 10:10:38,-1
