timestamp,Infrared to Red Signal Ratio
10/12/23 14:44:09,0
10/12/23 14:45:09,-10
10/12/23 14:46:09,0
10/12/23 14:47:10,0
10/12/23 14:48:10,-5
10/12/23 14:49:10,0
10/12/23 14:50:10,-14
10/12/23 14:51:10,0
10/12/23 14:52:10,-17
10/12/23 14:53:10,9
10/12/23 14:54:10,21
10/12/23 14:55:10,7
10/12/23 14:56:10,0
10/12/23 14:57:10,14
10/12/23 14:58:10,0
10/12/23 14:59:10,0
10/12/23 15:00:10,0
10/12/23 15:01:10,0
10/12/23 15:02:10,0
10/12/23 15:03:10,-4
10/12/23 15:04:10,0
10/12/23 15:05:10,0
10/12/23 15:06:10,0
10/12/23 15:07:10,10
10/12/23 15:08:10,0
10/12/23 15:09:10,8
10/12/23 15:10:10,0
10/12/23 15:11:10,0
10/12/23 15:12:10,0
10/12/23 15:13:10,0
