timestamp,Infrared to Red Signal Ratio
02/14/23 00:00:57,4
02/14/23 00:01:57,8
02/14/23 00:02:57,1
02/14/23 00:03:57,0
02/14/23 00:04:57,-4
02/14/23 00:05:57,0
02/14/23 00:06:57,-1
02/14/23 05:21:57,-1
02/14/23 05:22:57,42
02/14/23 05:23:57,8
02/14/23 05:24:57,-9
02/14/23 05:25:57,0
02/14/23 05:26:57,10
02/14/23 05:27:57,-13
02/14/23 05:28:57,-1
02/14/23 05:29:57,-26
02/14/23 05:30:57,-43
02/14/23 05:31:57,6
02/14/23 05:32:57,-9
02/14/23 05:33:57,-17
02/14/23 05:34:57,0
02/14/23 05:35:57,-1
02/14/23 05:36:57,0
02/14/23 05:37:57,17
02/14/23 05:38:57,-27
02/14/23 05:39:57,-13
02/14/23 05:40:57,0
02/14/23 05:41:57,2
02/14/23 05:42:57,-17
02/14/23 05:43:57,2
02/14/23 05:44:57,-8
02/14/23 05:45:57,-10
02/14/23 05:46:57,0
02/14/23 05:47:57,-1
02/14/23 05:48:57,3
02/14/23 05:49:57,-4
02/14/23 05:50:57,19
02/14/23 05:51:57,-5
02/14/23 05:52:57,32
02/14/23 05:53:57,12
02/14/23 05:54:57,19
02/14/23 05:55:57,13
02/14/23 05:56:57,0
02/14/23 05:57:57,-21
02/14/23 05:58:57,0
02/14/23 05:59:57,5
02/14/23 06:00:57,18
02/14/23 06:01:57,-8
02/14/23 06:02:57,-11
02/14/23 06:03:57,1
02/14/23 06:04:57,-17
02/14/23 06:05:57,8
02/14/23 06:06:57,0
02/14/23 06:07:57,3
02/14/23 06:08:57,-69
02/14/23 06:09:57,-41
02/14/23 06:10:57,-5
02/14/23 06:11:57,0
02/14/23 06:12:57,6
02/14/23 06:13:57,-26
02/14/23 06:14:57,0
02/14/23 06:15:57,0
02/14/23 06:16:57,0
02/14/23 06:17:57,-5
02/14/23 06:18:57,-32
02/14/23 06:19:57,-12
02/14/23 06:20:57,-30
02/14/23 06:21:57,-6
02/14/23 06:22:57,0
02/14/23 06:23:57,-8
02/14/23 06:24:57,0
02/14/23 06:25:57,-34
02/14/23 06:26:57,-20
02/14/23 06:27:57,-29
02/14/23 06:28:57,-8
02/14/23 06:29:57,-6
02/14/23 06:30:57,16
02/14/23 06:31:57,-4
02/14/23 06:32:57,13
02/14/23 06:33:57,0
02/14/23 06:34:57,-1
02/14/23 06:35:57,0
02/14/23 06:36:57,3
02/14/23 06:37:57,-27
02/14/23 06:38:57,26
02/14/23 06:39:57,-46
02/14/23 06:40:57,0
02/14/23 06:41:57,0
02/14/23 06:42:57,0
02/14/23 06:43:57,0
02/14/23 06:44:57,0
02/14/23 06:45:57,0
02/14/23 06:46:57,0
02/14/23 06:47:57,0
02/14/23 06:48:57,0
02/14/23 06:49:57,0
02/14/23 06:50:57,0
02/14/23 06:51:57,0
02/14/23 06:52:57,0
02/14/23 06:53:57,0
02/14/23 06:54:57,0
02/14/23 06:55:57,0
02/14/23 06:56:57,0
02/14/23 06:57:57,0
02/14/23 06:58:57,0
02/14/23 06:59:57,0
02/14/23 07:00:57,0
02/14/23 07:01:57,0
02/14/23 07:02:57,0
02/14/23 07:03:57,0
02/14/23 07:04:57,0
02/14/23 07:05:57,0
02/14/23 07:06:57,0
02/14/23 07:07:57,0
02/14/23 07:08:57,0
02/14/23 07:09:57,0
02/14/23 07:10:57,0
02/14/23 07:11:57,0
02/14/23 07:12:57,0
02/14/23 07:13:57,0
02/14/23 07:14:57,0
02/14/23 07:15:59,0
02/14/23 07:16:59,0
02/14/23 07:17:59,0
02/14/23 07:18:59,-2
02/14/23 07:19:59,17
02/14/23 07:20:59,8
02/14/23 07:21:59,25
02/14/23 07:22:59,0
02/14/23 07:23:59,-21
02/14/23 07:24:59,-3
02/14/23 07:25:59,18
02/14/23 07:26:59,0
02/14/23 07:27:59,4
02/14/23 07:28:59,8
02/14/23 07:29:59,-1
02/14/23 07:30:59,0
02/14/23 07:31:59,13
02/14/23 07:32:59,-15
02/14/23 07:33:59,4
02/14/23 07:34:59,1
02/14/23 07:35:59,13
02/14/23 07:36:59,8
02/14/23 07:37:59,0
02/14/23 07:38:59,0
02/14/23 07:39:59,0
02/14/23 07:40:59,0
02/14/23 07:41:59,0
02/14/23 07:42:59,0
02/14/23 07:43:59,0
02/14/23 07:44:59,0
02/14/23 07:45:59,0
02/14/23 07:46:59,0
02/14/23 07:47:59,0
02/14/23 07:48:59,0
02/14/23 07:49:59,0
02/14/23 07:50:59,0
02/14/23 07:51:59,0
02/14/23 07:52:59,39
02/14/23 07:53:59,0
02/14/23 07:54:59,0
02/14/23 07:55:59,24
02/14/23 07:56:59,-6
02/14/23 07:57:59,-21
02/14/23 07:58:59,-22
02/14/23 07:59:59,26
02/14/23 08:00:59,0
02/14/23 08:01:59,0
02/14/23 08:02:59,1
02/14/23 08:03:59,0
02/14/23 08:04:59,15
02/14/23 08:05:59,67
02/14/23 08:06:59,42
02/14/23 08:07:59,24
