timestamp,Infrared to Red Signal Ratio
11/16/23 12:07:54,0
11/16/23 12:08:54,0
11/16/23 12:09:54,0
11/16/23 12:10:54,0
11/16/23 12:11:54,0
11/16/23 12:12:54,0
11/16/23 12:13:54,0
11/16/23 12:14:54,6
11/16/23 12:15:54,0
11/16/23 12:16:54,0
11/16/23 12:17:54,0
11/16/23 12:18:54,24
11/16/23 12:19:54,0
11/16/23 12:20:54,0
11/16/23 12:21:54,-8
11/16/23 12:22:54,0
11/16/23 12:23:54,0
11/16/23 12:24:54,0
11/16/23 12:25:54,0
11/16/23 12:26:54,0
11/16/23 12:27:54,0
11/16/23 12:28:54,0
11/16/23 12:29:54,0
11/16/23 12:30:54,0
11/16/23 12:31:54,0
11/16/23 12:32:54,0
11/16/23 12:33:54,0
11/16/23 12:34:54,0
11/16/23 12:35:54,0
11/16/23 12:36:54,0
11/16/23 12:37:54,4
