timestamp,Infrared to Red Signal Ratio
04/14/24 19:05:57,-6
04/14/24 19:06:57,0
04/14/24 19:07:57,0
04/14/24 19:08:57,0
04/14/24 19:09:57,0
04/14/24 19:10:57,0
04/14/24 19:11:57,-2
04/14/24 19:12:57,0
04/14/24 19:13:57,0
04/14/24 19:14:57,0
04/14/24 19:15:57,0
04/14/24 19:16:57,-3
04/14/24 19:17:59,0
04/14/24 19:18:59,0
04/14/24 19:20:01,0
04/14/24 19:21:01,0
04/14/24 19:22:01,4
04/14/24 19:23:01,0
04/14/24 19:24:01,0
04/14/24 19:25:01,8
04/14/24 19:26:01,0
04/14/24 19:27:01,28
04/14/24 19:28:01,0
04/14/24 19:29:01,0
04/14/24 19:30:01,-1
04/14/24 19:31:01,-3
04/14/24 19:32:01,0
04/14/24 19:33:01,4
04/14/24 19:34:01,15
04/14/24 19:35:01,0
