timestamp,Infrared to Red Signal Ratio
12/14/23 12:12:27,0
12/14/23 12:13:33,0
12/14/23 12:14:39,0
12/14/23 12:15:45,0
12/14/23 12:16:51,0
12/14/23 12:17:57,0
12/14/23 12:19:03,0
12/14/23 12:20:09,0
12/14/23 12:21:15,0
12/14/23 12:22:21,0
12/14/23 12:23:27,0
12/14/23 12:24:33,0
12/14/23 12:25:40,0
12/14/23 12:26:46,0
12/14/23 12:27:52,0
12/14/23 12:28:52,0
12/14/23 12:29:58,0
12/14/23 12:31:04,0
12/14/23 12:32:10,0
12/14/23 12:33:16,0
12/14/23 12:34:22,0
12/14/23 12:35:28,0
12/14/23 12:36:34,0
12/14/23 12:37:40,0
12/14/23 12:38:46,0
12/14/23 12:39:52,0
12/14/23 12:40:58,0
12/14/23 12:42:05,0
12/14/23 12:43:11,0
12/14/23 12:44:17,0
12/14/23 12:45:23,0
12/14/23 12:46:23,0
12/14/23 12:47:29,0
12/14/23 12:48:35,0
12/14/23 12:49:41,0
12/14/23 12:50:47,0
12/14/23 12:51:53,0
