timestamp,Infrared to Red Signal Ratio
07/27/22 03:34:29,0
07/27/22 03:35:29,22
07/27/22 03:36:29,5
07/27/22 03:37:29,-1
07/27/22 03:38:29,37
07/27/22 03:39:29,28
07/27/22 03:40:29,19
07/27/22 03:41:29,14
07/27/22 03:42:29,78
07/27/22 03:43:29,9
07/27/22 03:44:29,0
07/27/22 03:45:29,13
07/27/22 03:46:29,-11
07/27/22 03:47:29,6
07/27/22 03:48:29,0
07/27/22 03:49:29,-4
07/27/22 03:50:29,-51
07/27/22 03:51:29,0
07/27/22 03:52:29,0
07/27/22 03:53:29,0
07/27/22 03:54:29,0
07/27/22 03:55:29,0
07/27/22 03:56:29,0
07/27/22 03:57:29,0
07/27/22 03:58:29,0
07/27/22 03:59:29,0
07/27/22 04:00:29,0
07/27/22 04:01:29,0
07/27/22 04:02:29,0
07/27/22 04:03:29,22
07/27/22 04:04:29,0
07/27/22 04:05:29,-15
07/27/22 04:06:29,21
07/27/22 04:07:29,-1
07/27/22 04:08:29,51
07/27/22 04:09:29,1
07/27/22 04:10:29,-17
07/27/22 04:11:29,19
07/27/22 04:12:29,2
07/27/22 04:13:29,-1
07/27/22 04:14:29,0
07/27/22 04:15:29,0
07/27/22 04:16:29,0
07/27/22 04:17:29,0
07/27/22 04:18:29,0
07/27/22 04:19:29,0
07/27/22 04:20:29,0
07/27/22 04:21:29,0
07/27/22 04:22:29,0
07/27/22 04:23:29,0
07/27/22 04:24:29,0
07/27/22 04:25:29,0
07/27/22 04:26:29,0
07/27/22 04:27:29,0
07/27/22 04:28:29,0
07/27/22 04:29:29,0
07/27/22 04:30:29,0
07/27/22 04:31:29,0
07/27/22 04:32:29,0
07/27/22 04:33:29,0
07/27/22 04:34:29,0
07/27/22 04:35:29,0
07/27/22 04:36:29,0
07/27/22 04:37:29,0
07/27/22 04:38:29,0
07/27/22 04:39:29,-1
07/27/22 04:40:29,0
07/27/22 04:41:29,0
07/27/22 04:42:29,0
07/27/22 04:43:29,-23
07/27/22 04:44:29,1
07/27/22 04:45:29,0
07/27/22 04:46:29,1
07/27/22 04:47:29,0
07/27/22 04:48:29,6
07/27/22 04:49:29,22
07/27/22 04:50:29,8
07/27/22 04:51:29,11
07/27/22 04:52:29,0
07/27/22 04:53:29,0
07/27/22 04:54:29,-8
07/27/22 04:55:29,-1
07/27/22 04:56:29,0
07/27/22 04:57:29,-15
07/27/22 04:58:29,-46
07/27/22 04:59:29,8
07/27/22 05:00:29,-21
07/27/22 05:01:29,-16
07/27/22 05:02:29,-6
07/27/22 05:03:29,1
07/27/22 05:04:29,-9
07/27/22 05:05:29,0
07/27/22 05:06:29,0
07/27/22 05:07:29,0
