timestamp,Infrared to Red Signal Ratio
04/15/24 13:33:41,0
04/15/24 13:34:41,0
04/15/24 13:35:41,0
04/15/24 13:36:41,-4
04/15/24 13:37:41,0
04/15/24 13:38:41,-1
04/15/24 13:39:41,6
04/15/24 13:40:41,2
04/15/24 13:41:41,15
04/15/24 13:42:41,0
04/15/24 13:43:41,14
04/15/24 13:44:41,0
04/15/24 13:45:41,0
04/15/24 13:46:41,0
04/15/24 13:47:41,-10
04/15/24 13:48:41,0
04/15/24 13:49:41,0
04/15/24 13:50:41,0
04/15/24 13:51:41,0
04/15/24 13:52:41,0
04/15/24 13:53:41,0
04/15/24 13:54:41,0
04/15/24 13:55:41,0
04/15/24 13:56:41,0
04/15/24 13:57:41,0
04/15/24 13:58:41,-8
04/15/24 13:59:41,0
04/15/24 14:00:41,0
04/15/24 14:01:41,-4
04/15/24 14:02:41,0
04/15/24 14:03:41,0
04/15/24 14:04:41,0
04/15/24 14:05:41,0
04/15/24 14:06:41,0
