timestamp,Infrared to Red Signal Ratio
08/27/22 16:22:06,0
08/27/22 16:23:06,-3
08/27/22 16:24:06,0
08/27/22 16:25:06,0
08/27/22 16:26:06,4
08/27/22 16:27:06,0
08/27/22 16:28:06,13
08/27/22 16:29:06,-5
08/27/22 16:30:06,21
08/27/22 16:31:06,5
08/27/22 16:32:06,-11
08/27/22 16:33:06,10
08/27/22 16:34:06,0
08/27/22 16:35:06,0
08/27/22 16:36:06,2
08/27/22 16:37:06,-5
08/27/22 16:38:06,-4
08/27/22 16:39:06,-13
08/27/22 16:40:06,8
08/27/22 16:41:06,0
08/27/22 16:42:06,0
08/27/22 16:43:06,0
08/27/22 16:44:06,0
08/27/22 16:45:06,0
08/27/22 16:46:06,0
08/27/22 16:47:06,-59
08/27/22 16:48:06,0
08/27/22 16:49:06,0
08/27/22 16:50:06,-1
08/27/22 16:51:06,-6
08/27/22 16:52:06,-1
08/27/22 16:53:06,0
08/27/22 16:54:06,0
08/27/22 16:55:06,0
08/27/22 16:56:06,0
08/27/22 16:57:06,-18
