timestamp,Infrared to Red Signal Ratio
04/12/24 13:39:03,0
04/12/24 13:40:03,11
04/12/24 13:41:03,0
04/12/24 13:42:03,0
04/12/24 13:43:03,0
04/12/24 13:44:03,0
04/12/24 13:45:03,0
04/12/24 13:46:03,0
04/12/24 13:47:03,0
04/12/24 13:48:03,0
04/12/24 13:49:03,-11
04/12/24 13:50:03,0
04/12/24 13:51:03,4
04/12/24 13:52:03,0
04/12/24 13:53:03,0
04/12/24 13:54:03,0
04/12/24 13:55:03,0
04/12/24 13:56:03,0
04/12/24 13:57:03,1
04/12/24 13:58:03,0
04/12/24 13:59:03,0
04/12/24 14:00:03,-13
04/12/24 14:01:03,-3
04/12/24 14:02:03,0
04/12/24 14:03:03,0
04/12/24 14:04:03,0
04/12/24 14:05:03,0
04/12/24 14:06:03,0
04/12/24 14:07:03,0
04/12/24 14:08:03,0
04/12/24 14:09:03,0
04/12/24 20:04:00,0
04/12/24 20:05:00,-1
04/12/24 20:06:00,0
04/12/24 20:07:00,8
04/12/24 20:08:00,0
04/12/24 20:09:00,0
04/12/24 20:10:00,0
04/12/24 20:11:00,0
04/12/24 20:12:00,0
04/12/24 20:13:00,0
04/12/24 20:14:00,0
04/12/24 20:15:00,0
04/12/24 20:16:00,9
04/12/24 20:17:00,0
04/12/24 20:18:00,0
04/12/24 20:19:02,16
04/12/24 20:20:02,8
04/12/24 20:21:02,0
04/12/24 20:22:02,4
04/12/24 20:23:02,0
04/12/24 20:24:02,0
04/12/24 20:25:02,3
04/12/24 20:26:02,0
04/12/24 20:27:02,0
04/12/24 20:28:02,4
04/12/24 20:29:02,0
04/12/24 20:30:02,-4
04/12/24 20:31:02,0
04/12/24 20:32:02,0
04/12/24 20:33:02,4
