timestamp,Infrared to Red Signal Ratio
08/11/22 10:59:30,0
08/11/22 11:00:30,0
08/11/22 11:01:30,0
08/11/22 11:02:30,0
08/11/22 11:03:30,0
08/11/22 11:04:30,0
08/11/22 11:05:30,0
08/11/22 11:06:30,-5
08/11/22 11:07:30,0
08/11/22 11:08:30,0
08/11/22 11:09:30,0
08/11/22 11:10:30,0
08/11/22 11:11:30,0
08/11/22 11:12:30,0
08/11/22 11:13:30,0
08/11/22 11:14:30,0
08/11/22 11:15:30,0
08/11/22 11:16:30,0
08/11/22 11:17:30,0
08/11/22 11:18:30,0
08/11/22 11:19:30,0
08/11/22 11:20:30,0
08/11/22 11:21:30,0
08/11/22 11:22:30,0
08/11/22 11:23:30,0
08/11/22 11:24:30,0
08/11/22 11:25:30,0
08/11/22 11:26:30,0
08/11/22 11:27:30,0
08/11/22 11:28:30,0
08/11/22 11:29:30,0
08/11/22 11:30:30,0
08/11/22 11:31:30,0
08/11/22 11:32:30,36
08/11/22 11:33:30,0
08/11/22 11:34:30,0
08/11/22 11:35:30,0
08/11/22 11:36:30,6
08/11/22 11:37:30,0
08/11/22 11:38:30,0
08/11/22 11:39:30,15
08/11/22 11:40:30,-2
08/11/22 11:41:30,-8
08/11/22 11:42:30,0
08/11/22 11:43:30,1
08/11/22 11:44:30,0
08/11/22 11:45:30,-13
08/11/22 11:46:30,6
08/11/22 11:47:30,2
08/11/22 11:48:30,-1
08/11/22 11:49:30,0
08/11/22 11:50:30,0
08/11/22 11:51:30,-4
08/11/22 11:52:30,-4
08/11/22 11:53:30,-18
08/11/22 11:54:30,40
08/11/22 11:55:30,2
08/11/22 11:56:30,28
08/11/22 11:57:30,57
08/11/22 11:58:30,0
08/11/22 11:59:30,16
08/11/22 12:00:30,8
08/11/22 12:01:30,0
08/11/22 12:02:30,3
08/11/22 12:03:30,16
08/11/22 12:04:30,-2
08/11/22 12:05:30,39
08/11/22 12:06:30,-1
08/11/22 12:07:30,0
08/11/22 12:08:30,6
08/11/22 12:09:30,-3
08/11/22 12:10:30,0
08/11/22 12:11:30,2
08/11/22 12:12:30,18
08/11/22 12:13:30,0
08/11/22 12:14:30,-13
08/11/22 12:15:30,0
08/11/22 12:16:30,3
08/11/22 12:17:30,0
08/11/22 12:18:30,0
08/11/22 12:19:30,0
08/11/22 12:20:30,0
08/11/22 12:21:30,-39
08/11/22 12:22:30,-8
08/11/22 12:23:30,2
08/11/22 12:24:30,0
08/11/22 12:25:30,0
08/11/22 12:26:30,-7
08/11/22 12:27:30,0
08/11/22 12:28:30,-3
08/11/22 12:29:30,0
08/11/22 12:30:30,43
08/11/22 12:31:30,-8
08/11/22 12:32:30,32
08/11/22 12:33:30,8
08/11/22 12:34:30,-14
08/11/22 12:35:30,0
08/11/22 12:36:30,0
08/11/22 12:37:30,6
08/11/22 12:38:30,0
08/11/22 12:39:30,0
08/11/22 12:40:30,-7
08/11/22 12:41:30,0
08/11/22 12:42:30,0
08/11/22 12:43:30,1
08/11/22 12:44:30,0
08/11/22 12:45:30,0
08/11/22 12:46:30,0
08/11/22 12:47:30,0
08/11/22 12:48:30,36
08/11/22 12:49:30,0
08/11/22 12:50:30,0
08/11/22 12:51:30,0
08/11/22 12:52:30,0
08/11/22 12:53:30,0
08/11/22 12:54:30,0
08/11/22 12:55:30,0
08/11/22 12:56:30,0
08/11/22 12:57:30,0
08/11/22 12:58:30,0
08/11/22 12:59:30,0
08/11/22 13:00:30,0
08/11/22 13:01:30,0
08/11/22 13:02:30,0
08/11/22 13:03:30,0
08/11/22 13:04:30,0
08/11/22 13:05:30,0
08/11/22 13:06:30,0
08/11/22 13:07:30,0
08/11/22 13:08:30,0
08/11/22 13:09:30,0
08/11/22 13:10:30,0
08/11/22 13:11:30,0
08/11/22 13:12:30,0
08/11/22 13:13:30,0
08/11/22 13:14:30,0
08/11/22 13:15:30,0
08/11/22 13:16:30,0
08/11/22 13:17:30,0
08/11/22 13:18:30,0
08/11/22 13:19:30,0
08/11/22 13:20:30,0
08/11/22 13:21:30,0
08/11/22 13:22:30,0
08/11/22 13:23:30,0
08/11/22 13:24:30,0
08/11/22 13:25:30,0
08/11/22 13:26:30,0
08/11/22 13:27:30,0
08/11/22 13:28:30,0
08/11/22 13:29:30,-5
08/11/22 13:30:30,0
08/11/22 13:31:30,-6
08/11/22 13:32:30,0
08/11/22 13:33:30,0
08/11/22 13:34:30,0
08/11/22 13:35:30,0
08/11/22 13:36:30,0
08/11/22 13:37:30,0
08/11/22 13:38:30,0
08/11/22 13:39:30,0
08/11/22 13:40:30,0
08/11/22 13:41:30,11
08/11/22 13:42:30,0
08/11/22 13:43:30,0
08/11/22 13:44:30,0
08/11/22 13:45:30,0
08/11/22 13:46:30,0
08/11/22 13:47:30,0
08/11/22 13:48:30,0
08/11/22 13:49:30,0
08/11/22 13:50:30,0
08/11/22 13:51:30,0
08/11/22 13:52:30,0
08/11/22 13:53:30,0
08/11/22 13:54:30,0
08/11/22 13:55:30,0
08/11/22 13:56:30,0
08/11/22 13:57:30,0
08/11/22 13:58:30,0
08/11/22 13:59:30,0
08/11/22 14:00:30,0
08/11/22 14:01:30,0
08/11/22 14:02:30,21
08/11/22 14:03:30,0
08/11/22 14:04:30,0
08/11/22 14:05:30,0
08/11/22 14:06:30,0
08/11/22 14:07:30,0
08/11/22 14:08:30,0
08/11/22 14:09:30,0
08/11/22 14:10:30,0
08/11/22 14:11:30,0
08/11/22 14:12:30,0
08/11/22 14:13:30,0
08/11/22 14:14:30,0
08/11/22 14:15:30,-65
08/11/22 14:16:30,0
08/11/22 14:17:30,0
08/11/22 14:18:30,0
08/11/22 14:19:30,0
08/11/22 14:20:30,0
08/11/22 14:21:30,0
08/11/22 14:22:30,0
08/11/22 14:23:30,0
08/11/22 14:24:30,0
08/11/22 14:25:30,0
08/11/22 14:26:30,0
08/11/22 14:27:30,0
08/11/22 14:28:30,0
08/11/22 14:29:30,0
08/11/22 14:30:30,0
08/11/22 14:31:30,0
08/11/22 14:32:30,0
08/11/22 14:33:30,0
08/11/22 14:34:30,0
08/11/22 14:35:30,0
08/11/22 14:36:30,0
08/11/22 14:37:30,0
08/11/22 14:38:30,0
08/11/22 14:39:30,0
08/11/22 14:40:30,0
08/11/22 14:41:30,0
08/11/22 14:42:30,0
08/11/22 14:43:30,0
08/11/22 14:44:30,0
08/11/22 14:45:30,0
08/11/22 14:46:30,0
08/11/22 14:47:30,0
08/11/22 14:48:30,0
08/11/22 14:49:30,0
08/11/22 14:50:30,0
08/11/22 14:51:30,0
08/11/22 14:52:30,0
08/11/22 14:53:30,0
08/11/22 14:54:30,0
08/11/22 14:55:30,0
08/11/22 14:56:30,0
08/11/22 14:57:30,0
08/11/22 14:58:30,0
08/11/22 14:59:30,0
08/11/22 15:00:30,0
08/11/22 15:01:30,0
08/11/22 15:02:30,0
08/11/22 15:03:30,0
08/11/22 15:04:30,0
08/11/22 15:05:30,0
08/11/22 15:06:30,0
08/11/22 15:07:30,0
08/11/22 15:08:30,0
08/11/22 15:09:30,0
08/11/22 15:10:30,0
08/11/22 15:11:30,0
08/11/22 15:12:30,0
08/11/22 15:13:30,0
08/11/22 15:14:30,0
08/11/22 15:15:30,0
08/11/22 15:16:30,0
08/11/22 15:17:30,0
08/11/22 15:18:30,0
08/11/22 15:19:30,0
08/11/22 15:20:30,0
08/11/22 15:21:30,3
08/11/22 15:22:30,0
08/11/22 15:23:30,0
08/11/22 15:24:30,0
08/11/22 15:25:30,0
08/11/22 15:26:30,0
08/11/22 15:27:30,0
08/11/22 15:28:30,0
08/11/22 15:29:30,0
08/11/22 15:30:30,0
08/11/22 15:31:30,0
08/11/22 15:32:30,0
08/11/22 15:33:30,0
08/11/22 15:34:30,0
08/11/22 15:35:30,0
08/11/22 15:36:30,0
08/11/22 15:37:30,0
08/11/22 15:38:30,0
08/11/22 15:39:30,0
08/11/22 15:40:30,0
08/11/22 15:41:30,-22
08/11/22 15:42:30,0
08/11/22 15:43:30,0
08/11/22 15:44:30,0
08/11/22 15:45:30,0
08/11/22 15:46:30,0
08/11/22 15:47:30,0
08/11/22 15:48:30,0
08/11/22 15:49:30,0
08/11/22 15:50:30,0
08/11/22 15:51:30,0
08/11/22 15:52:30,0
08/11/22 15:53:30,0
08/11/22 15:54:30,0
08/11/22 15:55:30,0
08/11/22 15:56:30,0
08/11/22 15:57:30,0
08/11/22 15:58:30,1
08/11/22 15:59:30,0
08/11/22 16:00:30,0
08/11/22 16:01:30,0
08/11/22 16:02:30,0
08/11/22 16:03:30,0
08/11/22 16:04:30,0
08/11/22 16:05:30,0
08/11/22 16:06:30,-7
08/11/22 16:07:30,0
08/11/22 16:08:30,2
08/11/22 16:09:30,0
08/11/22 16:10:30,0
08/11/22 16:11:30,0
08/11/22 16:12:30,0
08/11/22 16:13:30,0
08/11/22 16:14:30,36
08/11/22 16:15:30,0
08/11/22 16:16:30,0
08/11/22 16:17:30,-12
08/11/22 16:18:30,0
08/11/22 16:19:30,0
08/11/22 16:20:30,0
08/11/22 16:21:30,0
08/11/22 16:22:30,0
08/11/22 16:23:30,0
08/11/22 16:24:30,-22
08/11/22 16:25:30,0
08/11/22 16:26:30,0
08/11/22 16:27:30,0
08/11/22 16:28:30,0
08/11/22 16:29:30,0
08/11/22 16:30:30,0
08/11/22 16:31:30,0
08/11/22 16:32:30,0
08/11/22 16:33:30,0
08/11/22 16:34:30,0
08/11/22 16:35:30,0
08/11/22 16:36:30,0
08/11/22 16:37:30,-4
08/11/22 16:38:30,0
08/11/22 16:39:30,0
08/11/22 16:40:30,0
08/11/22 16:41:30,0
08/11/22 16:42:30,-2
08/11/22 16:43:30,0
08/11/22 16:44:30,0
08/11/22 16:45:30,0
08/11/22 16:46:30,0
08/11/22 16:47:30,0
08/11/22 16:48:30,0
08/11/22 16:49:30,0
08/11/22 16:50:30,8
08/11/22 16:51:30,0
08/11/22 16:52:30,0
08/11/22 16:53:30,0
08/11/22 16:54:30,0
08/11/22 16:55:30,0
08/11/22 16:56:30,0
08/11/22 16:57:30,0
08/11/22 16:58:30,0
08/11/22 16:59:30,0
08/11/22 17:00:30,0
08/11/22 17:01:30,0
08/11/22 17:02:30,0
08/11/22 17:03:30,0
08/11/22 17:04:30,0
08/11/22 17:05:30,10
08/11/22 17:06:30,0
08/11/22 17:07:30,0
08/11/22 17:08:30,0
08/11/22 17:09:30,0
08/11/22 17:10:30,0
08/11/22 17:11:30,0
08/11/22 17:12:30,0
08/11/22 17:13:30,13
08/11/22 17:14:30,10
08/11/22 17:15:30,0
08/11/22 17:16:30,0
08/11/22 17:17:30,0
08/11/22 17:18:30,0
08/11/22 17:19:30,0
08/11/22 17:20:30,0
08/11/22 17:21:30,0
08/11/22 17:22:30,0
08/11/22 17:23:30,-4
08/11/22 17:24:30,0
08/11/22 17:25:30,0
08/11/22 17:26:30,0
08/11/22 17:27:30,0
08/11/22 17:28:30,0
08/11/22 17:29:30,0
08/11/22 17:30:30,0
08/11/22 17:31:30,0
08/11/22 17:32:30,0
08/11/22 17:33:30,0
08/11/22 17:34:30,0
08/11/22 17:35:30,0
08/11/22 17:36:30,0
08/11/22 17:37:30,0
08/11/22 17:38:30,0
08/11/22 17:39:30,0
08/11/22 17:40:30,0
08/11/22 17:41:30,0
08/11/22 17:42:30,0
08/11/22 17:43:30,0
08/11/22 17:44:30,0
08/11/22 17:45:30,0
08/11/22 17:46:30,0
08/11/22 17:47:30,0
08/11/22 17:48:30,0
08/11/22 17:49:30,0
08/11/22 17:50:30,0
08/11/22 17:51:30,0
08/11/22 17:52:30,0
08/11/22 17:53:30,0
08/11/22 17:54:30,0
08/11/22 17:55:30,0
08/11/22 17:56:30,0
08/11/22 17:57:30,0
08/11/22 17:58:30,0
08/11/22 17:59:30,0
08/11/22 18:00:30,0
08/11/22 18:01:30,0
08/11/22 18:02:30,0
08/11/22 18:03:30,0
08/11/22 18:04:30,0
08/11/22 18:05:30,0
08/11/22 18:06:30,0
08/11/22 18:07:30,0
08/11/22 18:08:30,0
08/11/22 18:09:30,0
08/11/22 18:10:30,0
08/11/22 18:11:30,0
08/11/22 18:12:30,0
08/11/22 18:13:30,0
08/11/22 18:14:30,0
08/11/22 18:15:30,0
08/11/22 18:16:30,0
08/11/22 18:17:30,0
08/11/22 18:18:30,0
