timestamp,Infrared to Red Signal Ratio
08/26/23 12:56:30,0
08/26/23 12:57:30,0
08/26/23 12:58:30,21
08/26/23 12:59:30,0
08/26/23 13:00:30,0
08/26/23 13:01:30,0
08/26/23 13:02:30,-3
08/26/23 13:03:30,-22
08/26/23 13:04:30,-13
08/26/23 13:05:30,0
08/26/23 13:06:30,0
08/26/23 13:07:30,0
08/26/23 13:08:30,-12
08/26/23 13:09:30,0
08/26/23 13:10:30,0
08/26/23 13:11:30,1
08/26/23 13:12:30,8
08/26/23 13:13:30,20
08/26/23 13:14:30,0
08/26/23 13:15:30,0
08/26/23 13:16:30,0
08/26/23 13:17:30,61
08/26/23 13:18:30,0
08/26/23 13:19:30,0
08/26/23 13:20:30,0
08/26/23 13:21:30,0
08/26/23 13:22:30,0
08/26/23 13:23:30,0
08/26/23 13:24:30,8
08/26/23 13:25:30,14
