timestamp,Infrared to Red Signal Ratio
04/15/23 17:43:00,0
04/15/23 17:44:04,0
04/15/23 17:45:04,6
04/15/23 17:46:04,0
04/15/23 17:47:04,0
04/15/23 17:48:04,0
04/15/23 17:49:04,2
04/15/23 17:50:04,14
04/15/23 17:51:04,0
04/15/23 17:52:04,-34
04/15/23 17:53:04,38
04/15/23 17:54:04,-6
04/15/23 17:55:04,9
04/15/23 17:56:04,-6
04/15/23 17:57:05,3
04/15/23 17:58:05,0
04/15/23 17:59:05,0
04/15/23 18:00:05,11
04/15/23 18:01:05,5
04/15/23 18:02:05,2
04/15/23 18:03:05,0
04/15/23 18:04:05,-4
04/15/23 18:05:05,0
04/15/23 18:06:05,20
04/15/23 18:07:05,0
04/15/23 18:08:05,2
04/15/23 18:09:05,0
04/15/23 18:10:05,-13
04/15/23 18:11:05,0
04/15/23 18:12:05,24
04/15/23 18:13:05,-13
04/15/23 18:14:05,-13
04/15/23 18:15:05,0
04/15/23 18:16:05,-6
04/15/23 18:17:05,0
04/15/23 18:18:05,6
04/15/23 18:19:05,7
