date_time,heart_zone_id,total_minutes
2022-08-01T14:08,FAT_BURN,1
2022-08-01T14:09,FAT_BURN,1
2022-08-01T16:33,FAT_BURN,1
2022-08-04T14:27,FAT_BURN,1
2022-08-04T14:28,FAT_BURN,1
2022-08-04T14:29,FAT_BURN,1
2022-08-04T14:33,FAT_BURN,1
2022-08-04T14:34,FAT_BURN,1
2022-08-08T16:55,FAT_BURN,1
2022-08-08T16:56,FAT_BURN,1
2022-08-08T16:57,FAT_BURN,1
2022-08-08T16:58,FAT_BURN,1
2022-08-08T18:40,FAT_BURN,1
2022-08-12T17:20,FAT_BURN,1
2022-08-12T17:21,FAT_BURN,1
2022-08-12T17:22,FAT_BURN,1
2022-08-12T17:23,FAT_BURN,1
2022-08-12T17:24,FAT_BURN,1
2022-08-12T17:27,FAT_BURN,1
2022-08-12T17:28,FAT_BURN,1
2022-08-12T17:31,FAT_BURN,1
2022-08-12T17:32,FAT_BURN,1
2022-08-12T17:33,FAT_BURN,1
2022-08-12T17:34,CARDIO,2
2022-08-12T17:35,CARDIO,2
2022-08-12T17:36,CARDIO,2
2022-08-12T17:37,FAT_BURN,1
2022-08-12T17:38,FAT_BURN,1
2022-08-12T17:39,FAT_BURN,1
2022-08-12T17:40,FAT_BURN,1
2022-08-12T17:41,FAT_BURN,1
2022-08-12T17:42,FAT_BURN,1
2022-08-12T17:43,FAT_BURN,1
2022-08-12T17:44,FAT_BURN,1
2022-08-12T17:45,FAT_BURN,1
2022-08-12T17:46,FAT_BURN,1
2022-08-12T17:48,FAT_BURN,1
2022-08-12T17:49,FAT_BURN,1
2022-08-12T17:50,FAT_BURN,1
2022-08-12T17:51,FAT_BURN,1
2022-08-12T17:52,FAT_BURN,1
2022-08-12T17:54,FAT_BURN,1
2022-08-12T17:56,FAT_BURN,1
2022-08-12T17:57,FAT_BURN,1
2022-08-12T17:58,FAT_BURN,1
2022-08-12T18:01,FAT_BURN,1
2022-08-12T18:02,FAT_BURN,1
2022-08-12T18:03,FAT_BURN,1
2022-08-12T18:04,FAT_BURN,1
2022-08-12T18:05,FAT_BURN,1
2022-08-12T18:06,FAT_BURN,1
2022-08-12T18:07,FAT_BURN,1
2022-08-12T18:08,FAT_BURN,1
2022-08-12T18:09,FAT_BURN,1
2022-08-12T18:10,FAT_BURN,1
2022-08-12T18:11,FAT_BURN,1
2022-08-12T18:12,FAT_BURN,1
2022-08-12T18:14,FAT_BURN,1
2022-08-12T18:15,FAT_BURN,1
2022-08-12T18:23,CARDIO,2
2022-08-12T18:24,CARDIO,2
2022-08-12T18:25,CARDIO,2
2022-08-12T18:26,CARDIO,2
2022-08-12T18:27,CARDIO,2
2022-08-12T18:28,CARDIO,2
2022-08-12T18:29,FAT_BURN,1
2022-08-12T18:30,FAT_BURN,1
2022-08-12T18:31,CARDIO,2
2022-08-12T18:32,CARDIO,2
2022-08-12T18:33,FAT_BURN,1
2022-08-12T18:34,FAT_BURN,1
2022-08-12T18:35,FAT_BURN,1
2022-08-12T18:36,FAT_BURN,1
2022-08-12T18:37,FAT_BURN,1
2022-08-12T18:38,FAT_BURN,1
2022-08-12T18:39,FAT_BURN,1
2022-08-12T18:40,FAT_BURN,1
2022-08-12T18:41,FAT_BURN,1
