date_time,heart_zone_id,total_minutes
2022-07-28T18:57,FAT_BURN,1
2022-07-28T18:58,FAT_BURN,1
2022-07-28T18:59,FAT_BURN,1
2022-07-28T19:00,FAT_BURN,1
2022-07-28T19:01,FAT_BURN,1
2022-07-28T19:02,FAT_BURN,1
2022-07-28T19:03,FAT_BURN,1
2022-07-28T19:04,FAT_BURN,1
2022-07-28T19:05,FAT_BURN,1
2022-07-28T19:06,FAT_BURN,1
2022-07-28T19:07,FAT_BURN,1
2022-07-28T19:08,FAT_BURN,1
2022-07-28T19:09,FAT_BURN,1
2022-07-28T19:10,FAT_BURN,1
2022-07-28T19:11,FAT_BURN,1
2022-07-28T19:12,FAT_BURN,1
2022-07-28T19:13,FAT_BURN,1
2022-07-28T19:14,FAT_BURN,1
2022-07-28T19:15,FAT_BURN,1
2022-07-28T19:16,FAT_BURN,1
2022-07-28T19:17,FAT_BURN,1
2022-07-28T19:18,FAT_BURN,1
2022-07-28T19:19,FAT_BURN,1
2022-07-28T19:20,FAT_BURN,1
2022-07-28T19:21,FAT_BURN,1
2022-07-28T19:22,FAT_BURN,1
2022-07-28T19:23,FAT_BURN,1
2022-07-28T19:24,FAT_BURN,1
2022-07-28T19:25,FAT_BURN,1
2022-07-28T19:26,FAT_BURN,1
2022-07-28T19:27,FAT_BURN,1
2022-07-28T19:28,FAT_BURN,1
2022-07-28T19:29,FAT_BURN,1
2022-07-28T19:30,FAT_BURN,1
2022-07-28T19:31,FAT_BURN,1
2022-07-28T19:32,FAT_BURN,1
2022-07-28T19:33,FAT_BURN,1
2022-07-28T19:34,FAT_BURN,1
2022-07-28T19:35,FAT_BURN,1
2022-07-28T19:36,FAT_BURN,1
2022-07-28T19:37,FAT_BURN,1
2022-07-28T19:38,FAT_BURN,1
2022-07-28T19:39,FAT_BURN,1
2022-07-28T19:40,FAT_BURN,1
2022-07-28T19:41,FAT_BURN,1
2022-07-28T19:42,FAT_BURN,1
2022-07-28T19:43,FAT_BURN,1
2022-07-28T19:44,FAT_BURN,1
2022-07-28T19:45,FAT_BURN,1
2022-07-28T19:46,FAT_BURN,1
2022-07-28T19:47,FAT_BURN,1
2022-07-28T19:48,FAT_BURN,1
2022-07-28T19:49,FAT_BURN,1
2022-07-28T19:50,FAT_BURN,1
2022-07-28T19:51,FAT_BURN,1
2022-07-28T19:52,FAT_BURN,1
2022-07-28T19:53,FAT_BURN,1
2022-07-28T19:54,FAT_BURN,1
2022-07-28T19:55,FAT_BURN,1
2022-07-28T19:56,FAT_BURN,1
2022-07-28T19:57,FAT_BURN,1
2022-07-28T19:58,FAT_BURN,1
2022-07-28T19:59,FAT_BURN,1
2022-07-28T20:00,FAT_BURN,1
2022-07-28T20:01,FAT_BURN,1
2022-07-28T20:02,FAT_BURN,1
2022-07-28T20:03,FAT_BURN,1
2022-07-28T20:04,CARDIO,2
2022-07-28T20:05,CARDIO,2
2022-07-28T20:06,FAT_BURN,1
2022-07-28T20:07,FAT_BURN,1
2022-07-28T20:08,FAT_BURN,1
2022-07-28T20:09,FAT_BURN,1
2022-07-28T20:10,FAT_BURN,1
2022-07-29T22:44,FAT_BURN,1
2022-07-30T00:45,FAT_BURN,1
2022-07-30T16:55,FAT_BURN,1
2022-07-31T17:16,FAT_BURN,1
2022-07-31T17:17,CARDIO,2
2022-07-31T17:18,CARDIO,2
2022-07-31T17:19,FAT_BURN,1
2022-07-31T17:20,CARDIO,2
2022-07-31T17:21,CARDIO,2
2022-07-31T17:22,FAT_BURN,1
2022-07-31T17:23,FAT_BURN,1
2022-07-31T17:24,CARDIO,2
2022-07-31T17:25,CARDIO,2
2022-07-31T17:26,CARDIO,2
2022-07-31T17:27,CARDIO,2
2022-07-31T17:28,CARDIO,2
2022-07-31T17:29,CARDIO,2
2022-07-31T17:30,CARDIO,2
2022-07-31T17:31,FAT_BURN,1
2022-07-31T17:32,FAT_BURN,1
2022-07-31T17:33,CARDIO,2
2022-07-31T17:34,CARDIO,2
2022-07-31T17:35,CARDIO,2
2022-07-31T17:38,FAT_BURN,1
2022-07-31T17:39,CARDIO,2
2022-07-31T17:40,CARDIO,2
2022-07-31T17:41,CARDIO,2
2022-07-31T17:42,CARDIO,2
2022-07-31T17:43,CARDIO,2
2022-07-31T17:44,CARDIO,2
2022-07-31T17:45,CARDIO,2
2022-07-31T17:46,CARDIO,2
2022-07-31T17:47,FAT_BURN,1
2022-07-31T17:48,FAT_BURN,1
2022-07-31T17:49,CARDIO,2
2022-07-31T17:50,CARDIO,2
2022-07-31T17:51,CARDIO,2
2022-07-31T17:52,FAT_BURN,1
2022-07-31T17:53,FAT_BURN,1
2022-07-31T17:54,CARDIO,2
2022-07-31T17:55,CARDIO,2
2022-07-31T17:56,FAT_BURN,1
2022-07-31T17:58,FAT_BURN,1
2022-07-31T17:59,FAT_BURN,1
2022-07-31T18:00,FAT_BURN,1
2022-07-31T18:01,FAT_BURN,1
2022-07-31T18:02,CARDIO,2
2022-07-31T18:03,CARDIO,2
2022-07-31T18:04,CARDIO,2
2022-07-31T18:05,CARDIO,2
2022-07-31T18:06,CARDIO,2
2022-07-31T18:07,FAT_BURN,1
2022-07-31T18:08,CARDIO,2
2022-07-31T18:09,FAT_BURN,1
2022-07-31T18:10,FAT_BURN,1
2022-07-31T18:11,FAT_BURN,1
2022-07-31T18:12,FAT_BURN,1
2022-07-31T18:13,FAT_BURN,1
2022-07-31T18:14,FAT_BURN,1
2022-07-31T18:15,FAT_BURN,1
2022-07-31T18:16,FAT_BURN,1
2022-07-31T18:17,FAT_BURN,1
2022-07-31T18:18,FAT_BURN,1
2022-07-31T18:19,FAT_BURN,1
2022-07-31T18:20,CARDIO,2
2022-07-31T18:21,CARDIO,2
2022-07-31T18:22,FAT_BURN,1
2022-07-31T18:23,FAT_BURN,1
2022-07-31T18:24,FAT_BURN,1
2022-07-31T18:25,FAT_BURN,1
2022-07-31T18:26,FAT_BURN,1
2022-07-31T18:27,FAT_BURN,1
2022-07-31T18:28,FAT_BURN,1
2022-07-31T18:29,CARDIO,2
2022-07-31T18:30,CARDIO,2
2022-07-31T18:31,CARDIO,2
2022-07-31T18:32,FAT_BURN,1
2022-07-31T18:33,CARDIO,2
2022-07-31T18:34,CARDIO,2
2022-07-31T18:35,CARDIO,2
2022-07-31T18:36,FAT_BURN,1
2022-07-31T18:37,FAT_BURN,1
2022-07-31T18:38,FAT_BURN,1
2022-07-31T18:39,FAT_BURN,1
2022-07-31T18:41,FAT_BURN,1
2022-07-31T18:45,FAT_BURN,1
2022-07-31T18:46,FAT_BURN,1
2022-07-31T18:47,FAT_BURN,1
2022-07-31T18:48,FAT_BURN,1
2022-07-31T18:49,FAT_BURN,1
2022-07-31T18:50,FAT_BURN,1
2022-07-31T18:51,FAT_BURN,1
2022-07-31T18:52,FAT_BURN,1
2022-07-31T18:53,FAT_BURN,1
2022-07-31T18:54,FAT_BURN,1
2022-07-31T18:55,FAT_BURN,1
2022-07-31T18:56,FAT_BURN,1
2022-07-31T18:57,FAT_BURN,1
2022-07-31T18:58,FAT_BURN,1
2022-07-31T18:59,FAT_BURN,1
2022-07-31T19:00,FAT_BURN,1
2022-07-31T19:01,FAT_BURN,1
2022-07-31T19:02,FAT_BURN,1
